JobTitle,location,State,normalized_salary,work_type,pay_period,DevType
Senior Staff Data Scientist (Remote),"Austin, TX",TX,167500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Domo Data Analyst (Remote),United States,Nationwide,100000.0,FULL_TIME,YEARLY,Data or business analyst
Data Analyst,"Austin, TX",TX,89440.0,CONTRACT,HOURLY,Data or business analyst
"Software Engineer, Machine Learning","Sunnyvale, CA",CA,184000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Software Engineer, Machine Learning","San Francisco, CA",CA,184000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Senior Machine Learning Engineer,"Madison, WI",WI,140000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Solution Planner - Ai Infrastructure Optical Interconnect,"Boulder County, CO",CO,122240.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Senior Ai Scientist,"Seattle, WA",WA,213180.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst/Product Owner,"No Name, CO",CO,140400.0,CONTRACT,HOURLY,Data or business analyst
Senior Data Scientist,United States,Nationwide,220000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Engineer Ii,"New York, NY",NY,100000.0,FULL_TIME,YEARLY,Data engineer
Artificial Intelligence Vice President,"New York, NY",NY,400000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst,San Francisco Bay Area,CA,107500.0,FULL_TIME,YEARLY,Data or business analyst
Data Engineer,New York City Metropolitan Area,NY,150000.0,FULL_TIME,YEARLY,Data engineer
Program Manager – Network/Cyber/Ai – Legal Affairs,"Bellevue, WA",WA,104500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Generative Ai Full Stack Architect - Remote,United States,Nationwide,165000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst – Manager,"Clayton, NC",NC,110000.0,FULL_TIME,YEARLY,Data or business analyst
Salesforce Business Analyst,"Charlotte, NC",NC,107500.0,FULL_TIME,YEARLY,Data or business analyst
Data Engineer - All Levels,United States,Nationwide,130764.0,FULL_TIME,MONTHLY,Data engineer
Data Scientist - Ts/Sci Hybrid,"Bethesda, MD",MD,174000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
